report_link,sighting_dateTime,city,state_province,country,ufo_shape,report_summary,reported_dateTime,media,explanation
https://nuforc.org/sighting/?id=187347,2025-01-30 18:00:00,Maldon,England,United Kingdom,Orb,Small white / Blue orb moving sporadically through the sky,01/30/2025,True,Drone?
https://nuforc.org/sighting/?id=187348,2025-01-30 07:48:00,Sfântu Gheorghe,Covasna County,Romania,Changing,Above my city a strange hovering shapeshifting object was hovering in one place,01/30/2025,True,
https://nuforc.org/sighting/?id=187668,2025-01-29 22:45:00,,Cozumel,Mexico,Orb,"Drone like Orb, white/blue in colour, moving oddly between the rear and mid port side of the ship.",02/12/2025,False,
https://nuforc.org/sighting/?id=187311,2025-01-29 21:36:00,Wath upon Dearne,England,United Kingdom,Orb,I have been seeing them before but now I decided to report on here because it's becoming every night,01/29/2025,True,Aircraft?
https://nuforc.org/sighting/?id=187316,2025-01-29 21:30:00,,Trøndelag,Norway,Star,Looked like a star/orb with very bright light.   Moved sideways then shot up in the sky at large speed.,01/29/2025,False,
https://nuforc.org/sighting/?id=187349,2025-01-29 21:30:00,Philipsburg,MT,USA,Circle,"We saw two lights moving slowly, fading in and out, several miles to our west.",01/30/2025,True,
https://nuforc.org/sighting/?id=187330,2025-01-29 21:18:00,El Pozo de Cota,Baja California Sur,Mexico,Light,"Bright object was stationary and had a reddish hue, with a shifting color pattern.  Second object passed by and faded out.",01/29/2025,True,
https://nuforc.org/sighting/?id=187340,2025-01-29 21:10:00,Dunn,NC,USA,Orb,One reddish Light was first thought to be a planet due to the color and recollection of seeing Jupiter in the sky,01/29/2025,True,Chinese Lantern?
https://nuforc.org/sighting/?id=187337,2025-01-29 21:04:00,Dover,OH,USA,Triangle,Triangular craft spotted in ohio,01/29/2025,True,
https://nuforc.org/sighting/?id=188663,2025-01-29 21:00:00,Lyman,SC,USA,Orb,Observed a stationary orb begin to float upwards after an aircraft passed directly in front of it.,04/01/2025,True,
https://nuforc.org/sighting/?id=187327,2025-01-29 20:36:00,Bheelon Ka Bedla,Rajasthan,India,Orb,"i saw several UFO coming from down to up, they flies randomly anywhere ,they are visible only for 4-5seconds then disappear",01/30/2025,True,
https://nuforc.org/sighting/?id=187343,2025-01-29 20:35:00,Greater Northdale,FL,USA,Orb,Large Orange Orb in Sky glowing stationary,01/30/2025,False,
https://nuforc.org/sighting/?id=187423,2025-01-29 20:30:00,Pahrump,NV,USA,Circle,Blackhawk helicopter chasing white orb.,02/02/2025,False,
https://nuforc.org/sighting/?id=187315,2025-01-29 20:00:00,Glenbrohane,County Limerick,Ireland,Light,"For the last couple of weeks, at night a warm light shines in a field across the road from my house, light moves unconventionally.",01/29/2025,True,
https://nuforc.org/sighting/?id=187328,2025-01-29 19:47:00,Fairwood,WA,USA,Other,Coming home from gym. Saw something like a tear drop to my right in the sky. Then after Couple seconds rapidly went straight down.,01/30/2025,False,
https://nuforc.org/sighting/?id=187329,2025-01-29 19:45:00,San Diego,CA,USA,Light,Circle of white light moving diagonally downward in the sky for a few seconds then completely disappearing.,01/29/2025,False,
https://nuforc.org/sighting/?id=187313,2025-01-29 19:40:00,Samobor,Zagreb County,Croatia,Light,White light turned red and disappeared,01/29/2025,False,Aircraft?
https://nuforc.org/sighting/?id=187300,2025-01-29 19:20:00,Taylorsville,KY,USA,Flash,"Observed a fast-moving light stop abruptly, reverse direction, then vanish. A second sighting followed, resembling a typical me",01/28/2025,False,
https://nuforc.org/sighting/?id=187363,2025-01-29 19:14:00,St. Louis,MO,USA,Cigar,I have picture and short video,01/31/2025,True,Rocket
https://nuforc.org/sighting/?id=187939,2025-01-29 18:46:00,Lake in the Hills,IL,USA,Orb,Witnessed large bright light traveling directly above my home.,02/24/2025,True,
https://nuforc.org/sighting/?id=187339,2025-01-29 18:20:00,Longview,WA,USA,Orb,I saw a huge white orb in the distance that looked like it was falling but did not have a trail.,01/29/2025,False,
https://nuforc.org/sighting/?id=187321,2025-01-29 09:25:00,Bloomingdale,MI,USA,Light,3 then 4 all disapered 5 more showed up then disappeared,01/29/2025,False,
